universe,symbol,timeframe,ma_window,split,n_trades,win_rate,profit_factor,total_return_pct,t_stat
indices_tv,US30,15m,20,TEST,22,40.909090909090914,0.8627500971438099,-0.1879351090205872,-0.2791826334138271
indices_tv,US30,15m,50,TRAIN,37,37.83783783783784,0.819298107979052,-0.5449027642642879,-0.5273901597449328
indices_tv,US30,15m,50,TEST,12,66.66666666666666,1.97719827817551,0.7869268989350697,1.0275106683767747
indices_tv,US30,30m,20,TRAIN,31,38.70967741935484,0.6696151674688556,-0.8314628036180993,-0.9844992147609855
indices_tv,US30,30m,20,TEST,11,81.81818181818183,6.716220712466075,1.7598880930601357,2.6268151067548637
indices_tv,US30,30m,50,TRAIN,18,50.0,1.2986195906025666,0.5449912481901631,0.46076600250213284
indices_tv,US30,30m,50,TEST,6,83.33333333333334,6.641220472865475,1.4594172448908038,2.2938685513871664
indices_tv,UK100,15m,20,TRAIN,70,41.42857142857143,0.6711192681944091,-1.8776771097845923,-1.483201106003788
indices_tv,UK100,15m,20,TEST,21,52.38095238095239,1.3973315556326338,0.5635111479638244,0.6798545717040544
indices_tv,UK100,15m,50,TRAIN,35,57.14285714285714,1.7738609121427755,1.903399877140144,1.559622391336476
indices_tv,UK100,15m,50,TEST,18,44.44444444444444,0.8753142718928425,-0.21895459481985347,-0.257841545692289
indices_tv,UK100,30m,20,TRAIN,29,48.275862068965516,1.5635883275442288,1.4902203715854379,1.0261623065855525
indices_tv,UK100,30m,20,TEST,13,61.53846153846154,1.077419784472227,0.0888714936732038,0.12225280773533155
indices_tv,UK100,30m,50,TRAIN,15,73.33333333333333,4.866587461402063,3.4063939215921213,2.736391048525314
indices_tv,UK100,30m,50,TEST,7,14.285714285714285,0.2775664931676979,-1.0528970903943113,-1.6059829966822818
indices_tv,JPN225,15m,20,TRAIN,63,38.095238095238095,0.8771993215126963,-1.518792936773583,-0.46501880592942313
indices_tv,JPN225,15m,20,TEST,22,50.0,0.9582932175041002,-0.15760261415003196,-0.08736258684917156
indices_tv,JPN225,15m,50,TRAIN,33,51.515151515151516,1.5993441232863268,4.088811743292986,1.1931611620670057
indices_tv,JPN225,15m,50,TEST,14,71.42857142857143,3.4819090847686844,3.6711392918304497,1.978274684960444
indices_tv,JPN225,30m,20,TRAIN,32,53.125,1.3391303886156793,2.3797194818837797,0.7569762197773436
indices_tv,JPN225,30m,20,TEST,13,53.84615384615385,1.4105489300877625,1.046483443938051,0.5260711734256354
indices_tv,JPN225,30m,50,TRAIN,13,23.076923076923077,0.4958691224433643,-2.4067617464476387,-1.1822662549124183
